"PA Code",NSC Code,NCES Code,AUN Code,"ULCS Code",SRC School ID,School Name (ULCS),Publication Name,Admission Type,"Year Opened","Grade Level (based on enrollment)",Current Grade Span Served,"Authorized Grade Span at Scale",Phasing-In ,Phasing-Out,Governance,Charter Management Organization,School Reporting Category,Alternate Education Type,Turnaround Model,Turaround Year,CTE Status,Title I Designation,Federal Accountability Designation,City Council District (2000),Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Principal Name,Learning Network,Learning Network 2,Assistant Superintendent,Pre-K On-Site Indicator,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
3847,393345,4.21899E+11,126515001,1010,101,"BARTRAM, JOHN HIGH SCHOOL",John Bartram High School,NEIGHBORHOOD,1939,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,PRIORITY,2,N/A,2401 S. 67TH ST.,PHILADELPHIA               ,PA,19142,215-492-6450,215-492-6117,Abdul Mubdi Muhammad,LEARNING NETWORK 1,,Deb Carrera,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3860,393555,4.21899E+11,126515001,1020,102,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,NEIGHBORHOOD,1911,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2011-2012,Programs,1,PRIORITY,3,N/A,4901 CHESTNUT ST.,PHILADELPHIA               ,PA,19139,215-471-2902,215-471-6402,Mary Dean,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7903,392779,4.21899E+11,126515001,1030,103,HIGH SCHOOL OF THE FUTURE,High School of the Future,CITYWIDE,2006,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,4,N/A,4021 PARKSIDE AVE.,PHILADELPHIA               ,PA,19104,215-823-5500,215-823-5504,Richard Sherin,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7780,393347,4.21899E+11,126515001,1050,105,"ROBESON, PAUL HIGH SCHOOL",Paul Robeson High School for Human Services,CITYWIDE,2003,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,FOCUS,3,N/A,4125 LUDLOW ST.,PHILADELPHIA               ,PA,19104,215-823-8207,215-823-8252,Richard Gordon,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7245,393944,4.21899E+11,126515001,1100,110,"SAYRE, WILLIAM L. HIGH SCHOOL",William L. Sayre High School,NEIGHBORHOOD,1950,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,3,N/A,5800 WALNUT ST.,PHILADELPHIA               ,PA,19139,215-471-2904,215-471-3486,Jamie Eberle,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8297,N/A,4.21899E+11,126515001,1130,113,TILDEN MIDDLE SCHOOL,William T. Tilden School,NEIGHBORHOOD,1927,MIDDLE,8-May,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,2,N/A,6601 ELMWOOD AVE.,PHILADELPHIA               ,PA,19142,215-492-6454,215-492-6128,Brian Johnson,LEARNING NETWORK 1,,Deb Carrera,0,0,0,0,0,0,1,1,1,1,0,0,0,0
7815,393246,4.21899E+11,126515001,1190,119,MOTIVATION HIGH SCHOOL,Motivation High School,SPECIAL ADMIT,2004,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,5900 BALTIMORE AVE.,PHILADELPHIA               ,PA,19143,215-471-2906,215-471-8172,Rennu Teli,LEARNING NETWORK 1,,Deb Carrera,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8029,N/A,4.21899E+11,126515001,1200,120,"BARRY, JOHN ELEMENTARY SCHOOL",John Barry School,NEIGHBORHOOD,2007,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2013-2014,N/A,1,PRIORITY,4,N/A,5900 RACE ST.,PHILADELPHIA               ,PA,19139,215-471-2744,215-471-6320,Robin McCoy-Wilkins,LEARNING NETWORK 2,,Sean Conley,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3601,N/A,4.21899E+11,126515001,1230,123,"BRYANT, WILLIAM C. SCHOOL",William C. Bryant School,NEIGHBORHOOD,1903,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2013-2014,N/A,1,PRIORITY,3,N/A,6001 CEDAR AVE.,PHILADELPHIA               ,PA,19143,215-471-2910,215-471-8379,Paulette Gaddy,LEARNING NETWORK 2,,Sean Conley,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3602,N/A,4.21899E+11,126515001,1250,125,"CATHARINE, JOSEPH SCHOOL",Joseph W. Catharine School,NEIGHBORHOOD,1937,ELEMENTARY,00-05,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,6600 CHESTER AVE.,PHILADELPHIA               ,PA,19142,215-727-2155,215-727-5671,Patricia Hunter,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,0,0,0,0,0,0,0
