X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.196545533108392,40.046268994575442,1,126515001,3712,6250,"Henry, Charles W.","Henry, Charles W.",601 Carpenter La.,19119 - 3405,951-4006,Open,Elem/Middle,K-8,478,District,District
-75.105179495306473,40.03431080480901,2,126517442,8251,7240,Universal Creighton Charter School,Universal Creighton Charter School,5401Tabor Ave,19120 - 3614,(215)537-2531,Open,Elem/Middle,K-8,895,Charter,Charter
-75.087421348422097,40.014766709884498,3,126515001,3797,7360,"Marshall, John","Marshall, John",4500 Griscom St.,19124 - 3653,537-2521,Open,Elementary School,K-5,404,District,District
-75.137617840911361,40.015084663054594,4,126515001,6534,7380,"McClure, Alexander K.","McClure, Alexander K.",4134 N  06th ST.,19140 - 2510,456-3001,Open,Elementary School,K-5,610,District,District
-75.074372031403016,40.012792653053502,5,126515001,7242,7110,"Harding, Warren G.","Harding, Warren G.",2000 Wakeling St.,19124,537-2528,Open,Middle School,6-8,756,District,District
-75.120912285453414,39.99692395533377,6,126515001,3688,5260,"Elkin, Lewis","Elkin, Lewis","3199 ""D"" St.",19134 - 3199,291-4701,Open,Elementary School,K-4,919,District,District
-75.166994704375213,39.994863910795338,7,126515001,3841,4060,"Dobbins, Murrell (CTE)","Dobbins, Murrell (CTE)",2100-50 W Lehigh Ave.,19132,227-4421,Open,High School,9-12,492,District,District
-75.112300074330122,39.992827162307073,8,126515001,3842,5060,"Mastbaum, Jules E. (CTE)","Mastbaum, Jules E. (CTE)",3116 Frankford Ave,19134,291-4703,Open,High School,9-12,594,District,District
-75.14518965210074,39.989243841774844,9,126515001,5125,5320,"Hartranft, John F.","Hartranft, John F.",720 West Cumberland St.,19133,684-5088,Open,Elementary School,K-8,535,District,District
-75.243688142656936,39.952954263413844,10,126515001,3601,1230,"Bryant, William Cullen","Bryant, William Cullen",6001 Cedar Ave.,19143 - 1133,471-2910,Open,Elementary School,K-8,490,District,District
-75.170885936021634,39.940382550793771,11,126515001,3635,2450,"Stanton, Edwin M.","Stanton, Edwin M.",1620 Christian St,19146 - 1908,875-3185,Open,Elem/Middle,K-8,317,District,District
-75.239795206708663,39.927288695787901,12,126515001,3602,1250,"Catherine, Joseph","Catherine, Joseph",6600 Chester Ave.,19142 - 1638,727-2155,Open,Elementary School,K-5,615,District,District
-75.150853241720668,39.92377287691869,13,126515001,3818,2160,"Furness, Horace","Furness, Horace",1900 S. 3rd St.,19148,952-6226,Open,High School,9-12,695,District,District
-75.208128168344757,39.952696489774105,14,126515001,7706,1280,Penn Alexander Sch,Penn Alexander Sch,4201 Spruce Street,19104 - 4022,823-5465,Open,Elem/Middle,K-8,564,District,District
-75.023576334902955,40.11419174238457,15,126515001,4961,8440,"Loesche, William H.","Loesche, William H.",595 Tomlinson Rd.,19116 - 3332,961-2000,Open,Elementary School,K-5,774,District,District
-75.013968768662195,40.092042419214366,16,126515001,7072,8090,Swenson Arts and Technology Center (CTE),Swenson Arts & Tech Ctr,2750 Red Lion Rd.,19114,961-2009,Open,High School,9-12,618,District,District
-75.052528861521239,40.09125312887388,17,126515001,6824,8160,"Baldi, C. C. A.","Baldi, C. C. A.",8801 Verree Rd.,19115,961-2003,Open,Middle School,6-8,1209,District,District
-75.084132856751509,40.038902272479895,18,126515001,7230,7220,"Carnell, Laura H.","Carnell, Laura H.",6101 Summerdale Ave.,19111 - 5826,537-2527,Open,Elem/Middle,K-5,1007,District,District
-75.061690610205147,40.029729669060323,19,126515001,3758,8200,"Allen, Ethan","Allen, Ethan",3001 Robbins Avenue,19149 - 3138,537-2530,Open,Elem/Middle,K-8,904,District,District
-75.12999733289243,40.002468163006114,20,126515001,5123,5470,"Cramp, William","Cramp, William",3449 N. Masher St.,19140,291-4704,Open,Elementary School,K-5,562,District,District
-75.154258531995126,39.979126767472131,21,126515001,3687,5250,"Dunbar, Paul Laurence","Dunbar, Paul Laurence",1720-58 N 12th St.,19122 - 2513,684-5065,Open,Elementary School,K-8,246,District,District
-75.194310412693497,39.966598227134916,22,126515001,3611,1360,"McMichael, Morton","McMichael, Morton",3543 Fairmount Ave.,19104 - 1906,823-8205,Open,Elem/Middle,K-8,404,District,District
-75.165765257416751,39.963412604871927,23,126515001,3808,2140,"Masterman, Julia R.","Masterman, Julia R.",1699 Spring Garden St.,19130,299-4661,Open,Middle/High,5-12,1180,District,District
-75.152599186611312,39.944536268294542,24,126515001,3648,2340,"McCall, General George A.","McCall, General George A.",325 South 7th St.,19106 - 4139,351-7350,Open,Elem/Middle,K-8,687,District,District
-75.177015321043498,39.924541253085735,25,126515001,3776,2320,"Girard, Stephen","Girard, Stephen",1801 Snyder Ave,19145 - 2390,952-8554,Open,Elementary School,K-4,572,District,District
-75.151027684633959,39.918801807447188,26,126515001,3653,2630,"Sharswood, George","Sharswood, George",2300 S. 2nd St.,19148 - 4004,952-6212,Open,Elem/Middle,K-8,514,District,District
-75.176729940507357,39.914457528365375,27,126515001,3620,2240,"Bregy, F. Amedee","Bregy, F. Amedee",1700 Bigler St.,19145 - 4816,952-6218,Open,Elem/Middle,K-8,480,District,District
-75.178739134016084,39.975550785423366,28,126515001,4868,2390,"Morris, Robert","Morris, Robert",2600 W.Thompson St.,19121 - 4630,684-5087,Open,Elem/Middle,K-8,530,District,District
-75.057752604253253,40.058546791480396,29,126515001,3771,8360,Rhawnhurst,Rhawnhurst,7809 Castor Ave.,19152 - 3603,728-5013,Open,Elementary School,K-5,593,District,District
-75.162001548877626,40.056435668387266,30,126515001,6675,6060,"King, Martin Luther","King, Martin Luther",6100 Stenton Ave.,19138,276-5253,Open,High School,9-12,1060,District,District
-75.165332028233678,40.056418755811329,31,126515001,7229,6460,"Hill, J. E. / Sampson Freedman","Hill, J. E. / Sampson Freedman",6200 Crittenden Sts.,19138,276-5260,Open,Middle/High,6-12,390,District,District
-75.147735382656592,40.051825168045177,32,126515001,3835,7130,"Wagner, General Louis","Wagner, Gen. Louis",1701 Chelten Ave.,19141,276-5252,Open,Middle School,6-8,541,District,District
-75.161566838288394,40.047823194487556,33,126515001,3721,6330,"Mastery Charter, Francis D Pastorius Elementary","Pastorius, Francis",5650  Sprague St.,19138 - 1744,951-4008,Open,Elem/Middle,K-8,550,Charter,Charter
-75.117673499358972,40.035736404621765,34,126515001,7663,7370,Washington Grover Jr School,"Washington Jr., Grover",201 E Olney Avenue,19120,456-0422,Open,Middle School,5-8,565,District,District
-75.075405372611158,40.030075192616827,35,126515001,7233,7460,"Ziegler, William H.","Ziegler, William H.",5935 Saul St.,19149 - 3446,537-2510,Open,Elem/Middle,K-8,531,District,District
-75.066743314322224,40.000239948900933,36,126515001,3745,7470,Bridesburg,Bridesburg,2824 Jenks St.,19137 - 2231,537-2515,Open,Elem/Middle,K-7,611,District,District
-75.114575057325382,39.994440410919367,37,126515001,6525,5230,"Conwell, Russell","Conwell, Russell",1829 Clearfield Avenue,19134,291-4722,Open,Middle School,5-8,463,District,District
-75.177680365869449,39.989982744949714,38,126515001,5188,4470,"Wright, Richard","Wright, Richard",2700 W. Dauphin St.,19132 - 4638,684-5076,Open,Elementary School,K-5,373,District,District
-75.146442434270554,39.982123300829343,39,126515001,8332,5610,Building 21,Building 21,2000 N 7th St,19122 - 1302,(215) 684-2030,Open,High School,9-10,138,District,District
-75.135950194424524,39.974875909271198,40,126515001,3697,5370,"Moffet, John","Moffet, John",127 W Oxford St.,19122,291-4721,Open,Elementary School,K-5,411,District,District
-75.130042129240323,39.972585876148287,41,126515001,7256,5200,"Adaire, Alexander","Adaire, Alexander",1300 E. Palmer St.,19125 - 3321,291-4712,Open,Elem/Middle,K-8,412,District,District
-75.215152468673452,39.97254530893948,42,126515001,3663,1490,"Blankenburg, Rudolph","Blankenburg, Rudolph",4612-72 W. Girard Ave.,19131 - 4629,581-5505,Open,Elementary School,K-5,487,District,District
-75.143068045947643,39.96819495213952,43,126515001,7070,5150,"Bodine, William W.","Bodine, William W.",1101 North 4th St.,19123,351-7332,Open,High School,9-12,480,District,District
-75.235481597693123,39.955195367397792,44,126515001,5185,1290,"Hamilton, Andrew","Hamilton, Andrew",5640 Spruce St.,19139 - 3937,471-2911,Open,Elem/Middle,K-8,618,District,District
-75.216618057989635,39.95413673150447,45,126515001,6530,1340,"Lea, Henry C.","Lea, Henry C.",4700 Locust St.,19139 - 4416,471-2915,Open,Elem/Middle,K-8,505,District,District
-75.156099566925121,39.929828231290898,46,126515001,3647,2580,"Kirkbride, Elizabeth B.","Kirkbride, Elizabeth B.",1501 S. 7th St.,19147 - 6410,952-6214,Open,Elem/Middle,K-8,543,District,District
-75.181226039694764,39.929387197820418,47,126515001,3629,2370,"McDaniel, Delaplaine","McDaniel, Delaplaine",2100 Moore St.,19145 - 1933,952-6203,Open,Elem/Middle,K-8,722,District,District
-75.160571288339071,39.920895777365502,48,126515001,7228,2540,"Key, Francis Scott","Key, Francis Scott",2230 S. 8th St,19148 - 3101,952-6216,Open,Elementary School,K-6,502,District,District
